Date,Open,High,Low,Close,Volume,
1/1/2024,296.45,307.31,293.96,303.72,93133,
1/2/2024,190.11,193.1,187.21,191.4,64993,
1/3/2024,197.41,208.64,193.37,205.89,70326,
1/4/2024,253.13,262.67,248.67,258.95,17358,
1/5/2024,241.35,253.09,238.99,252.2,20847,
1/6/2024,2.79,501.67,492.3,500.42,29000,
1/7/2024,258.01,265.61,254.37,264.94,47481,
1/8/2024,399.54,418.35,397.09,417.6,28766,
1/9/2024,395.02,417.97,391.51,413.27,13193,
1/10/2024,221.48,231.21,219.69,226.35,129565,
1/11/2024,231.79,243.4,230.82,242.69,62443,
1/12/2024,231.07,246.4,229.38,245.42,36696,
1/13/2024,155.92,166.99,153.19,166.49,91831,
1/14/2024,481.91,492.4,477.12,491.99,55243,
1/15/2024,455.69,469.25,451.11,465.41,167233,
1/16/2024,314.61,329.61,311.08,328.56,79832,
1/17/2024,216.9,236.77,212.57,234.46,106396,
1/18/2024,451.06,461.65,449.92,461.23,188553,
1/19/2024,369.78,375.62,365.77,373.96,28704,
1/20/2024,256.08,265.43,252.38,260.49,84859,
1/21/2024,302.73,310.45,301.76,305.95,179150,
1/22/2024,303.75,317.15,303.01,312.82,163847,
1/23/2024,467.37,477.27,465.53,475.35,112168,
1/24/2024,327.4,338.43,325.65,334.93,156435,
1/25/2024,358.7,375.48,358.15,375.29,190216,
1/26/2024,112.68,123.78,111.83,121.27,129955,
1/27/2024,223.45,238.74,220.16,238.17,171229,
1/28/2024,114.16,133.96,109.43,130.29,58091,
1/29/2024,167.91,176.55,166.63,174.37,145680,
1/30/2024,462.88,481.85,462.33,480.22,99680,
1/31/2024,469.61,485.72,465.68,481.96,27539,
2/1/2024,379.51,395.89,377.07,394.57,17174,
2/2/2024,390.1,397.94,387.04,395.51,13710,
2/3/2024,278.68,285.25,274.19,285.22,28315,
2/4/2024,468.27,479.66,466.31,479.63,48195,
2/5/2024,257.18,274.98,256.64,272.14,94568,
2/6/2024,368.41,375.27,366.83,373.51,195189,
2/7/2024,354.97,370.98,354.87,369.1,45928,
2/8/2024,330.34,348.62,327.37,346.79,126705,
2/9/2024,186.19,199.92,183.27,198.37,89556,
2/10/2024,372.44,376.52,368.99,375.67,127026,
2/11/2024,446.59,457.83,443.24,452.93,112415,
2/12/2024,414.61,425.8,413.43,421.92,117694,
2024-02-13,267.93,280.43,265,275.57,185680,
2024-02-14,466.44,474.69,465.45,472.06,142032,
2024-02-15,406.91,415.23,403.64,414.04,122172,
2024-02-16,380.43,400.11,377.19,397.68,67480,
2024-02-17,147.85,154.29,146.85,151.34,183280,
2024-02-18,464.4,474.73,464.28,472.23,49334,
2024-02-19,245.47,262.56,241.57,260.41,154376,
2024-02-20,210.9,221.56,210.83,220.31,125917,
2024-02-21,340.76,351.75,337.57,351.46,95424,
2024-02-22,283.33,295.01,279.55,291.79,133804,
2024-02-23,195.75,211.46,192.54,210.2,181314,
2024-02-24,430.58,436.75,426.32,435.79,19354,
2024-02-25,170.55,181.13,167.39,178.58,47071,
2024-02-26,187.88,195.26,186.36,193.36,115659,
2024-02-27,355.67,375.14,353.6,370.56,62294,
2024-02-28,289.9,298.27,289.06,298.01,108022,
2024-02-29,120.34,131.84,116.3,129.95,64201,
